Title,Price
"ACER Nitro 5 (AN515-58-745M), Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i7,i7-12700H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 3060, Schwarz, Windows 11 Home (64 Bit)","1499,00€"
"ASUS ZenBook Pro 14 OLED UX6404VV-M9022W, Creator Notebook, mit 14 Zoll Display, Intel® Core™ i9,i9-13900H Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4060, Tech Black, Windows 11 Home (64 Bit)","2999,00€"
"APPLE MacBook Pro (2023), Notebook mit 16 Zoll Display, Apple M3 Pro Chip, 36 GB RAM, 18-Core GPU, 512 GB SSD, Silber","3459,00€"
"HP 15s-fq0318ng, Notebook, mit 15,6 Zoll Display, Intel® Celeron®,N4120 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD 600, Schwarz, Windows 11 Home (64 Bit)","399,00€"
"MICROSOFT Surface Laptop, Copilot+ PC, 7. Edition, Copilot+ PC, mit 13,8 Zoll Display Touchscreen, Qualcomm Snapdragon X Elite, 16 GB RAM, 512 GB SSD, Qualcomm Adreno™ Onboard Graphics, Platin, Windows 11 Home (64 Bit)","1639,00€"
"ASUS Vivobook S 15 OLED S5506MA-MA074W, Notebook, mit 15,6 Zoll Display, Intel® Core™ Ultra 7,155H Prozessor, 16 GB RAM, 1 TB SSD, Intel® Arc® GPU, Schwarz, Windows 11 Home (64 Bit)","1299,00€"
"ACER Aspire 3 (A317-54-39UF), Notebook, mit 17,3 Zoll Display, Intel® Core™ i3,1215U  Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Pure Silver, Windows 11 (64 Bit)","499,00€"
"HP Pavilion Plus 14-ew0355ng, Notebook, mit 14 Zoll Display, Intel® Core™ i5,i5-1335U Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Silber, Windows 11 Home (64 Bit)","899,00€"
"PEAQ Classic PNB C140V-2G428D-1, Notebook, mit 14 Zoll Display, Intel® Pentium® Silver,N5030 Prozessor, 4 GB RAM, 128 GB SSD, Intel® UHD 605, Grau, Windows 11 Home S-Modus (64 Bit)","269,99€"
"MICROSOFT Surface Laptop 5, Notebook, mit 13,5 Zoll Display Touchscreen, Intel® Core™ i5,i5-1235U (evo) Prozessor, 8 GB RAM, 256 GB SSD, Intel® Iris® Xe, Platin, Windows 11 Home (64 Bit)","1179,00€"
"ACER Swift Go (SFG14-42-R6VL) mit OLED-Display, Notebook, mit 14,0 Zoll Display, AMD Ryzen™ 5,7640U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon™ 760M, Pure Silver, Windows 11 Home (32 bit)","1019,00€"
"HP Pavilion 16-ag0357ng, Notebook, mit 16 Zoll Display Touchscreen, AMD Ryzen™ 5,8540U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon™ Onboard Graphics, Silber, Windows 11 Home (64 Bit)","849,00€"
"MICROSOFT Surface Laptop 5, Notebook, mit 13,5 Zoll Display Touchscreen, Intel® Core™ i5,i5-1235U (evo) Prozessor, 8 GB RAM, 256 GB SSD, Intel® Iris® Xe, Platin, Windows 11 Home (64 Bit)","1179,00€"
"ACER Swift Go (SFG14-42-R6VL) mit OLED-Display, Notebook, mit 14,0 Zoll Display, AMD Ryzen™ 5,7640U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon™ 760M, Pure Silver, Windows 11 Home (32 bit)","1019,00€"
"HP Pavilion 16-ag0357ng, Notebook, mit 16 Zoll Display Touchscreen, AMD Ryzen™ 5,8540U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon™ Onboard Graphics, Silber, Windows 11 Home (64 Bit)","849,00€"
"HP 14-em0355ng, Notebook, mit 14 Zoll Display, ARM Ryzen™ 5,7520U Prozessor, 8 GB RAM, 512 GB SSD, AMD Radeon™ Onboard Graphics, Silber, Windows 11 Home (64 Bit)","599,00€"
"HUAWEI Matebook 14, Notebook, mit 14,2 Zoll Display Touchscreen, Intel® Core™ Ultra 7,155H Prozessor, 16 GB RAM, 1 TB SSD, Intel® Arc® GPU, Grün, Windows 11 Home (64 Bit)","1399,00€"
"HUAWEI MateBook 16s 2023, Intel® Evo™ Plattform, Notebook, mit 16 Zoll Display, Intel® Evo™ Plattform, Intel® Core™ i9,i9-13900H (Evo) Prozessor, 16 GB RAM, 1 TB SSD, Intel® Iris® Xe, Space Grey, Windows 11 Home (64 Bit)","1799,00€"
"ACER Swift Go 14 (SFG14-72-70SP) mit Tastaturbeleuchtung, AI-Features, Notebook, mit 14 Zoll Display, Intel® Evo™ Plattform, Intel® Core™ Ultra 7,155H Prozessor, 32 GB RAM, 1 TB SSD, Intel® Arc® GPU, Pure Silver, Windows 11 (64 Bit)","1249,00€"
